date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:21:01	303036/-1	---M--	200	added ('OK')	text/html	date:Tue,%2002%20Dec%202025%2016:21:00%20GMT	https://choebyeonlawfirm.co.kr/case/?q=YToxOntzOjEyOiJrZXl3b3JkX3R5cGUiO3M6MzoiYWxsIjt9&bmode=view&idx=17742194&t=board	C:/Users/%ea%b0%95%eb%af%bc%ec%9a%b0/Desktop/test-web-down/choebyeonlawfirm/choebyeonlawfirm.co.kr/case/indexa804.html	(from https://choebyeonlawfirm.co.kr/)
01:21:01	537501/537501	---M--	200	added ('OK')	image/jpeg	etag:%22c647620d421cd4a1c6d127a71c736246%22	https://cdn.imweb.me/thumbnail/20250329/4ac32c6eabdc0.jpg	C:/Users/%ea%b0%95%eb%af%bc%ec%9a%b0/Desktop/test-web-down/choebyeonlawfirm/cdn.imweb.me/thumbnail/20250329/4ac32c6eabdc0.jpg	(from https://choebyeonlawfirm.co.kr/)
01:21:01	303220/-1	---M--	200	added ('OK')	text/html	date:Tue,%2002%20Dec%202025%2016:21:00%20GMT	https://choebyeonlawfirm.co.kr/case/?q=YToyOntzOjQ6InBhZ2UiO2k6MTtzOjEyOiJrZXl3b3JkX3R5cGUiO3M6MzoiYWxsIjt9&bmode=view&idx=17742141&t=board	C:/Users/%ea%b0%95%eb%af%bc%ec%9a%b0/Desktop/test-web-down/choebyeonlawfirm/choebyeonlawfirm.co.kr/case/index0fc6.html	(from https://choebyeonlawfirm.co.kr/)
01:21:01	61162/61162	---M--	200	added ('OK')	image/jpeg	etag:%2253b29b9cb9651fa7c40ff8e9ffae2dea%22	https://cdn.imweb.me/thumbnail/20250331/d6ad692b8830e.jpg	C:/Users/%ea%b0%95%eb%af%bc%ec%9a%b0/Desktop/test-web-down/choebyeonlawfirm/cdn.imweb.me/thumbnail/20250331/d6ad692b8830e.jpg	(from https://choebyeonlawfirm.co.kr/)
01:21:01	303220/-1	---M--	200	added ('OK')	text/html	date:Tue,%2002%20Dec%202025%2016:21:01%20GMT	https://choebyeonlawfirm.co.kr/case/?q=YToyOntzOjQ6InBhZ2UiO2k6MTtzOjEyOiJrZXl3b3JkX3R5cGUiO3M6MzoiYWxsIjt9&bmode=view&idx=17742256&t=board	C:/Users/%ea%b0%95%eb%af%bc%ec%9a%b0/Desktop/test-web-down/choebyeonlawfirm/choebyeonlawfirm.co.kr/case/index26c2.html	(from https://choebyeonlawfirm.co.kr/)
01:21:01	330621/330621	---M--	200	added ('OK')	image/jpeg	etag:%2265b5a91f3d650322bcf2d37a412e194d%22	https://cdn.imweb.me/thumbnail/20250331/8ac6da7d18c35.jpg	C:/Users/%ea%b0%95%eb%af%bc%ec%9a%b0/Desktop/test-web-down/choebyeonlawfirm/cdn.imweb.me/thumbnail/20250331/8ac6da7d18c35.jpg	(from https://choebyeonlawfirm.co.kr/)
01:21:02	372355/372355	---M--	200	added ('OK')	image/jpeg	etag:%22209ea3091114340cf24a721b3dedf718%22	https://cdn.imweb.me/thumbnail/20250331/251d32d1c72a4.jpg	C:/Users/%ea%b0%95%eb%af%bc%ec%9a%b0/Desktop/test-web-down/choebyeonlawfirm/cdn.imweb.me/thumbnail/20250331/251d32d1c72a4.jpg	(from https://choebyeonlawfirm.co.kr/)
01:21:02	229816/229816	---M--	200	added ('OK')	image/jpeg	etag:%229d3ed39d4edbe25d3998e98eecbade99%22	https://cdn.imweb.me/thumbnail/20250329/815676bbaab6e.jpg	C:/Users/%ea%b0%95%eb%af%bc%ec%9a%b0/Desktop/test-web-down/choebyeonlawfirm/cdn.imweb.me/thumbnail/20250329/815676bbaab6e.jpg	(from https://choebyeonlawfirm.co.kr/)
01:21:02	27168/27168	---M--	200	added ('OK')	image/jpeg	etag:%22b20198c0b821bb1b639bead8fad99a8c%22	https://cdn.imweb.me/thumbnail/20250329/af3aacded9360.jpg	C:/Users/%ea%b0%95%eb%af%bc%ec%9a%b0/Desktop/test-web-down/choebyeonlawfirm/cdn.imweb.me/thumbnail/20250329/af3aacded9360.jpg	(from https://choebyeonlawfirm.co.kr/)
01:21:02	2019/2019	---M--	404	error ('Not%20Found')	text/html	etag:%2299d0fa1b69bc5ade5ba28faecac9a953%22	https://choebyeonlawfirm.co.kr/S20250306fbad79bbe35f5/1ccef51059bf4.jpg	C:/Users/%ea%b0%95%eb%af%bc%ec%9a%b0/Desktop/test-web-down/choebyeonlawfirm/choebyeonlawfirm.co.kr/S20250306fbad79bbe35f5/1ccef51059bf4.38.delayed	(from https://choebyeonlawfirm.co.kr/)
